15,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
1. Georgia (12-1),31.7,41.1 (3),10.5 (1),1.1 (25)
2. Ohio St. (10-2),29.3,46.3 (1),19.7 (17),2.7 (2)
3. Alabama (12-1),27.2,41.9 (2),15.8 (10),1.1 (26)
4. Michigan (12-1),25.9,37.7 (16),14.5 (7),2.7 (3)
5. Cincinnati (13-0),23,38.7 (11),15.2 (9),-0.5 (78)
6. Texas A&M (8-4),21.2,33.7 (35),14.9 (8),2.3 (6)
7. Notre Dame (11-1),19.8,36.5 (20),17.0 (13),0.4 (56)
8. Clemson (9-3),19.5,29.2 (65),12.1 (3),2.3 (7)
9. Wisconsin (8-4),19.4,29.9 (58),11.0 (2),0.6 (45)
10. Pittsburgh (11-2),19.2,39.8 (4),21.4 (29),0.8 (35)
11. Tennessee (7-5),18.8,39.3 (8),22.5 (36),2.0 (9)
12. Ole Miss (10-2),17,38.9 (10),23.1 (42),1.2 (23)
13. NC St. (9-3),16.6,33.6 (37),17.6 (14),0.6 (44)
14. Utah (10-3),16.6,36.7 (18),18.8 (15),-1.4 (114)
15. Oklahoma St. (11-2),15.7,29.0 (67),14.0 (5),0.7 (40)
16. Penn St. (7-5),15.7,28.7 (69),14.1 (6),1.0 (29)
17. Oklahoma (10-2),14.8,39.7 (6),26.0 (62),1.1 (24)
18. Baylor (11-2),14.2,33.5 (38),18.9 (16),-0.4 (75)
19. Iowa St. (7-5),14.1,34.8 (28),21.6 (31),0.9 (34)
20. Minnesota (8-4),13.9,29.3 (64),16.1 (11),0.7 (41)
21. Kentucky (9-3),13.7,35.5 (23),22.2 (35),0.4 (53)
22. Arkansas (8-4),13.3,34.6 (29),22.0 (34),0.7 (39)
23. Arizona St. (8-4),13.1,35.0 (26),21.0 (24),-0.9 (97)
24. Miss. St. (7-5),12.8,35.9 (22),21.1 (25),-2.1 (124)
25. Coastal Caro. (10-2),12.8,38.6 (12),25.0 (57),-0.8 (94)
26. WKU (8-5),12.7,39.4 (7),28.5 (82),1.8 (14)
27. Florida (6-6),12.6,36.1 (21),23.3 (43),-0.3 (72)
28. Oregon (10-3),12.1,35.2 (25),24.3 (50),1.2 (22)
29. Kansas St. (7-5),12,32.3 (44),20.0 (18),-0.2 (70)
30. App. St. (10-3),11.7,31.5 (48),21.7 (32),1.9 (11)
31. Miami (7-5),11.7,35.4 (24),24.6 (53),0.9 (31)
32. Iowa (10-3),11.3,22.9 (100),14.0 (4),2.4 (4)
33. Houston (11-2),11.1,32.2 (46),20.6 (22),-0.4 (77)
34. Auburn (6-6),10.9,30.8 (53),20.4 (21),0.6 (47)
35. Michigan St. (10-2),10.9,35.0 (27),22.6 (38),-1.4 (115)
36. Fresno St. (9-3),10.7,34.4 (31),23.8 (48),0.1 (61)
37. Nebraska (3-9),10.3,34.2 (33),21.4 (28),-2.5 (127)
38. UCLA (8-4),9.9,38.0 (14),27.6 (74),-0.5 (79)
39. Wake Forest (10-3),9.6,38.4 (13),30.0 (95),1.3 (21)
40. Purdue (8-4),9.6,31.2 (49),20.1 (19),-1.5 (118)
41. Oregon St. (7-5),9.5,37.9 (15),28.8 (85),0.4 (50)
42. BYU (10-2),9.1,37.1 (17),27.2 (67),-0.9 (95)
43. Boise St. (7-5),9,28.5 (71),21.1 (26),1.6 (15)
44. Marshall (7-5),9,33.0 (41),22.9 (40),-1.1 (103)
45. UAB (8-4),8.9,31.0 (51),21.1 (27),-1.0 (101)
46. N. Carolina (6-6),8.7,39.1 (9),30.2 (97),-0.2 (67)
47. SMU (8-4),8.5,36.6 (19),27.4 (72),-0.6 (86)
48. Louisville (6-6),8.4,34.5 (30),25.9 (60),-0.2 (68)
49. Florida St. (5-7),8.2,30.2 (56),22.8 (39),0.8 (36)
50. Toledo (7-5),8.2,29.7 (60),20.4 (20),-1.1 (104)
51. Virginia (6-6),8,39.7 (5),31.2 (101),-0.5 (81)
52. Louisiana (12-1),7.7,29.9 (57),21.5 (30),-0.7 (87)
53. Air Force (9-3),7.7,29.2 (66),20.9 (23),-0.6 (83)
54. Texas Tech (6-6),7.5,33.6 (36),28.6 (83),2.4 (5)
55. Texas (5-7),7.5,34.2 (32),28.9 (89),2.2 (8)
56. San Diego St. (11-2),7.3,22.3 (103),16.6 (12),1.5 (16)
57. UTSA (12-1),7.2,33.0 (40),27.2 (68),1.3 (19)
58. Wash. St. (7-5),7.1,33.2 (39),26.6 (65),0.5 (49)
59. Army (8-3),6.8,30.9 (52),23.3 (44),-0.9 (96)
60. Liberty (7-5),6.6,30.7 (54),23.4 (46),-0.8 (92)
61. LSU (6-6),6.1,28.9 (68),24.2 (49),1.5 (17)
62. Va. Tech (6-6),5.8,28.2 (74),23.5 (47),1.0 (28)
63. Nevada (8-4),5.8,31.1 (50),25.3 (59),-0.1 (66)
64. Tulsa (6-6),4.3,28.2 (75),24.8 (54),0.9 (33)
65. Illinois (5-7),4.1,23.2 (96),21.8 (33),2.8 (1)
66. California (5-7),3.8,27.7 (78),24.9 (55),0.9 (32)
67. UCF (8-4),3.7,29.4 (63),24.4 (52),-1.4 (112)
68. Maryland (6-6),3.5,34.0 (34),28.8 (86),-1.6 (122)
69. S. Carolina (6-6),1.7,24.1 (88),24.4 (51),1.9 (12)
70. Missouri (6-6),1.6,30.6 (55),31.0 (100),1.9 (13)
71. Boston Coll. (6-6),1.4,27.2 (83),26.3 (64),0.4 (51)
72. W. Virginia (6-6),1.3,28.2 (73),25.9 (61),-1.0 (100)
73. Miami-OH (6-6),1,29.7 (59),27.5 (73),-1.2 (107)
74. Syracuse (5-7),0.9,27.5 (79),24.9 (56),-1.7 (123)
75. Memphis (6-6),0.7,29.5 (62),28.1 (79),-0.7 (90)
76. ECU (7-5),0.2,27.4 (81),28.5 (81),1.3 (20)
77. Washington (4-8),-0.1,23.0 (98),23.3 (45),0.2 (59)
78. Utah St. (10-3),-0.1,28.5 (72),28.4 (80),-0.2 (69)
79. USC (4-8),-0.2,32.6 (43),33.2 (107),0.4 (52)
80. Georgia St. (7-5),-0.2,26.4 (85),27.3 (71),0.6 (43)
81. Wyoming (6-6),-0.9,23.9 (89),22.5 (37),-2.2 (125)
82. CMU (8-4),-1,29.6 (61),30.4 (98),-0.2 (71)
83. WMU (7-5),-1.2,32.2 (45),29.8 (92),-3.6 (130)
84. TCU (5-7),-1.5,32.8 (42),34.4 (111),0.1 (62)
85. Rutgers (5-7),-2,21.2 (109),22.9 (41),-0.3 (73)
86. San Jose St. (5-7),-2.1,22.5 (101),25.3 (58),0.7 (38)
87. Hawaii (6-7),-2.4,27.1 (84),30.2 (96),0.7 (42)
88. Colorado St. (3-9),-2.5,23.3 (95),26.1 (63),0.3 (58)
89. Tulane (2-10),-4.1,27.9 (76),30.5 (99),-1.5 (117)
90. UTEP (7-5),-4.6,23.1 (97),28.0 (78),0.4 (54)
91. MTSU (6-6),-5,23.7 (91),27.9 (76),-0.7 (91)
92. Kent St. (7-6),-5.4,31.8 (47),35.9 (117),-1.2 (110)
93. FAU (5-7),-5.7,23.0 (99),28.7 (84),0.1 (64)
94. Ga. Tech (3-9),-5.8,27.4 (80),32.1 (102),-1.2 (109)
95. Troy (5-7),-6.7,20.1 (115),26.9 (66),0.1 (63)
96. ODU (6-6),-6.8,21.6 (106),27.8 (75),-0.5 (80)
97. EMU (7-5),-6.8,27.7 (77),36.5 (120),2.0 (10)
98. N. Texas (6-6),-6.8,23.3 (94),28.9 (88),-1.2 (108)
99. S. Alabama (5-7),-6.9,21.5 (107),27.9 (77),-0.4 (76)
100. NIU (9-4),-7.5,28.5 (70),35.4 (115),-0.6 (84)
101. Indiana (2-10),-7.7,20.5 (112),27.2 (70),-0.9 (98)
102. Ball St. (6-6),-9.5,22.2 (104),32.7 (104),1.0 (30)
103. Navy (3-8),-9.6,20.2 (114),29.2 (90),-0.6 (85)
104. Stanford (3-9),-9.6,22.4 (102),33.5 (108),1.4 (18)
105. Buffalo (4-8),-9.7,24.6 (87),33.2 (106),-1.1 (105)
106. Colorado (4-8),-9.7,19.0 (120),29.5 (91),0.8 (37)
107. Northwestern (3-9),-10.9,19.5 (118),27.2 (69),-3.2 (129)
108. Ohio (3-9),-11.6,25.2 (86),35.2 (114),-1.5 (119)
109. La. Tech (3-9),-11.9,23.5 (92),34.6 (112),-0.8 (93)
110. Arizona (1-11),-12.1,19.5 (119),32.2 (103),0.6 (46)
111. USF (2-10),-12.3,23.4 (93),36.3 (119),0.6 (48)
112. BGSU (4-8),-12.4,17.1 (125),29.8 (93),0.4 (55)
113. Duke (3-9),-12.9,23.8 (90),36.1 (118),-0.6 (82)
114. UNLV (2-10),-13.8,19.9 (116),33.1 (105),-0.7 (89)
115. Charlotte (5-7),-14.3,27.3 (82),41.6 (127),0.0 (65)
