TEAM,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
1. Georgia (4-0),26.9,37.3 (14),10.4 (1),0.0 (58)
2. Alabama (4-0),26.3,41.4 (4),15.3 (7),0.2 (22)
3. Ohio St. (3-1),24.8,46.2 (1),21.9 (32),0.5 (2)
4. Florida (3-1),22.2,41.7 (3),19.6 (23),0.1 (50)
5. Penn St. (4-0),21.1,35.7 (18),14.6 (6),0.0 (61)
6. Oklahoma (4-0),21,40.7 (7),20.1 (25),0.4 (4)
7. Clemson (2-2),20.8,33.4 (34),12.5 (2),0.0 (62)
8. Michigan (4-0),20.4,35.8 (17),15.8 (8),0.3 (9)
9. Arizona St. (3-1),17.3,35.1 (21),18.2 (16),0.4 (8)
10. UCLA (3-1),17,41.9 (2),25.1 (55),0.2 (24)
11. Wisconsin (1-2),16.9,30.4 (50),13.7 (4),0.2 (29)
12. Texas A&M (3-1),16.1,30.3 (52),14.5 (5),0.3 (13)
13. Ole Miss (3-0),15.8,41.2 (5),25.3 (57),-0.1 (93)
14. Cincinnati (3-0),15.8,33.4 (33),17.3 (12),-0.3 (121)
15. Iowa St. (2-2),15.5,33.6 (30),18.1 (14),0.0 (69)
16. Arkansas (4-0),15.4,33.7 (28),18.4 (17),0.1 (40)
17. Oregon (4-0),15,37.5 (12),22.9 (38),0.4 (3)
18. N. Carolina (2-2),14.8,41.0 (6),26.1 (62),-0.1 (84)
19. Coastal Caro. (4-0),14.5,40.2 (8),25.3 (56),-0.4 (124)
20. Texas (3-1),14,39.1 (10),24.9 (52),-0.2 (100)
21. Pittsburgh (3-1),14,34.7 (23),21.0 (29),0.2 (16)
22. Notre Dame (4-0),13.4,31.8 (39),18.4 (18),0.0 (68)
23. Utah (2-2),13.4,29.6 (60),15.9 (9),-0.3 (120)
24. Maryland (4-0),13.3,34.5 (24),21.2 (30),0.0 (73)
25. Auburn (3-1),13,31.0 (41),18.4 (19),0.4 (7)
26. Baylor (4-0),13,29.9 (58),17.3 (11),0.3 (11)
27. Liberty (3-1),12,35.6 (19),23.4 (44),-0.2 (110)
28. Iowa (4-0),11.8,24.3 (91),12.8 (3),0.3 (10)
29. App. St. (3-1),11.2,33.6 (31),22.6 (37),0.2 (20)
30. Michigan St. (4-0),10.8,30.4 (51),19.5 (22),-0.1 (78)
31. Miami (2-2),10.6,32.9 (35),22.4 (35),0.1 (39)
32. Tennessee (2-2),10.6,30.9 (43),20.5 (27),0.2 (25)
33. USC (2-2),10.4,36.5 (16),26.3 (64),0.1 (41)
34. Boston Coll. (4-0),10.2,37.4 (13),27.7 (75),0.4 (6)
35. Oklahoma St. (4-0),9.9,27.9 (70),17.9 (13),-0.1 (87)
36. Miss. St. (2-2),9.9,29.1 (63),19.0 (21),-0.3 (117)
37. UCF (2-1),9.6,38.7 (11),29.1 (87),0.0 (63)
38. Washington (2-2),9.3,30.2 (56),20.6 (28),-0.2 (109)
39. LSU (3-1),8.9,33.6 (32),24.9 (53),0.2 (19)
40. SMU (4-0),8.8,37.2 (15),28.1 (78),-0.3 (123)
41. Va. Tech (3-1),8.7,32.2 (37),23.4 (45),-0.1 (92)
42. NC St. (3-1),8.6,27.1 (74),18.2 (15),-0.3 (122)
43. Oregon St. (3-1),8.6,39.4 (9),31.1 (95),0.3 (12)
44. W. Virginia (2-2),8.6,29.1 (65),20.5 (26),0.0 (72)
45. TCU (2-1),8.3,31.7 (40),23.2 (41),-0.2 (102)
46. Kentucky (4-0),8.3,30.2 (55),22.1 (34),0.2 (28)
47. Nebraska (2-3),8.2,30.2 (53),21.6 (31),-0.4 (126)
48. Texas Tech (3-1),7.9,34.4 (25),26.7 (70),0.2 (17)
49. BYU (4-0),7.9,35.5 (20),27.4 (73),-0.2 (108)
50. Kansas St. (3-1),7.5,30.6 (49),23.1 (40),0.0 (55)
51. Marshall (2-2),7.2,30.0 (57),22.9 (39),0.0 (56)
52. Missouri (2-2),7,33.9 (26),27.5 (74),0.6 (1)
53. Rutgers (3-1),6.8,26.9 (75),20.0 (24),-0.1 (82)
54. Wake Forest (4-0),6.6,31.9 (38),25.5 (60),0.2 (23)
55. UAB (3-1),6.4,25.3 (86),18.9 (20),-0.1 (89)
56. Minnesota (2-2),5.8,30.9 (44),25.0 (54),-0.1 (88)
57. Boise St. (2-2),5.6,30.2 (54),24.8 (50),0.2 (21)
58. Virginia (2-2),5.2,33.9 (27),28.4 (81),-0.3 (119)
59. Fresno St. (4-1),5.1,34.8 (22),29.6 (88),-0.1 (98)
60. Purdue (3-1),4.8,29.1 (64),24.3 (48),0.0 (66)
61. Indiana (2-2),3.2,27.8 (71),24.5 (49),0.0 (70)
62. Ga. Tech (2-2),3.1,26.5 (77),23.3 (42),-0.1 (91)
63. San Diego St. (3-0),2.9,18.8 (115),16.0 (10),0.1 (36)
64. Army (4-0),2.8,29.0 (67),26.3 (65),0.1 (46)
65. Memphis (3-1),2.7,29.8 (59),27.3 (72),0.2 (30)
66. Tulsa (1-3),2.6,26.4 (80),23.7 (47),-0.1 (77)
67. California (1-3),2.6,30.9 (42),28.2 (80),-0.1 (95)
68. Louisiana (3-1),2.6,30.6 (48),28.2 (79),0.1 (43)
69. Louisville (3-1),2.1,33.7 (29),31.7 (99),0.2 (27)
70. Syracuse (3-1),2.1,25.3 (85),23.3 (43),0.1 (54)
71. UTSA (4-0),1.6,27.1 (73),25.8 (61),0.3 (15)
72. WMU (3-1),1.6,30.8 (46),28.7 (84),-0.5 (128)
73. Florida St. (0-4),1.1,29.5 (61),28.4 (83),0.1 (45)
74. Troy (2-2),0.9,23.3 (99),22.4 (36),0.0 (74)
