14,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
1. Georgia (12-0),33.8,41.5 (2),8.6 (1),0.9 (32)
2. Ohio St. (10-2),29.4,46.2 (1),19.8 (16),2.9 (1)
3. Alabama (11-1),26.5,41.0 (3),15.6 (11),1.1 (25)
4. Michigan (11-1),24.8,37.1 (17),14.9 (7),2.6 (2)
5. Cincinnati (12-0),22.4,38.2 (13),15.4 (10),-0.4 (72)
6. Texas A&M (8-4),20.9,33.6 (38),15.0 (8),2.2 (7)
7. Notre Dame (11-1),19.7,36.4 (21),17.2 (13),0.4 (50)
8. Wisconsin (8-4),19.5,29.8 (59),11.1 (2),0.9 (33)
9. Clemson (9-3),19.3,29.2 (66),12.0 (3),2.1 (9)
10. Tennessee (7-5),18.6,39.3 (8),22.5 (35),1.8 (16)
11. Pittsburgh (10-2),18.1,39.4 (7),22.1 (33),0.7 (36)
12. NC St. (9-3),17,33.6 (39),17.7 (14),1.1 (26)
13. Ole Miss (10-2),16.8,38.8 (11),23.2 (43),1.2 (23)
14. Oklahoma St. (11-1),16.7,30.0 (57),13.9 (5),0.5 (47)
15. Penn St. (7-5),15.8,28.8 (69),14.0 (6),1.1 (27)
16. Utah (9-3),15.3,36.9 (19),19.8 (17),-1.8 (122)
17. Oklahoma (10-2),15.3,39.7 (5),26.0 (64),1.6 (18)
18. Baylor (10-2),14.9,34.2 (32),20.0 (18),0.7 (38)
19. Oregon (10-2),14.6,37.1 (18),23.8 (49),1.3 (22)
20. Iowa St. (7-5),14.1,34.9 (28),21.6 (29),0.8 (35)
21. Iowa (10-2),13.7,23.5 (92),12.2 (4),2.4 (5)
22. Kentucky (9-3),13.7,35.6 (24),22.2 (34),0.3 (57)
23. Minnesota (8-4),13.5,29.3 (65),16.1 (12),0.2 (60)
24. WKU (8-4),13.1,38.9 (10),27.5 (74),1.8 (14)
25. Arkansas (8-4),13.1,34.7 (29),22.0 (32),0.4 (55)
26. Arizona St. (8-4),13,35.0 (26),21.1 (25),-0.9 (95)
27. Miss. St. (7-5),12.8,35.8 (23),21.2 (27),-1.9 (123)
28. Coastal Caro. (10-2),12.6,38.5 (12),25.1 (56),-0.7 (85)
29. Houston (11-1),12.5,32.6 (43),19.6 (15),-0.5 (75)
30. Florida (6-6),12.3,36.2 (22),23.2 (42),-0.7 (83)
31. App. St. (10-2),12.3,32.4 (45),22.0 (31),1.8 (15)
32. Wake Forest (10-2),11.8,39.6 (6),29.4 (90),1.5 (19)
33. Kansas St. (7-5),11.3,32.2 (46),20.1 (19),-0.8 (92)
34. Miami (7-5),11.3,35.3 (25),24.7 (53),0.7 (41)
35. Michigan St. (10-2),11.2,34.9 (27),22.7 (37),-1.1 (102)
36. Auburn (6-6),10.9,30.8 (52),20.3 (20),0.4 (54)
37. Fresno St. (9-3),10.6,34.5 (31),23.8 (48),-0.1 (68)
38. Nebraska (3-9),10.3,34.1 (34),21.4 (28),-2.4 (127)
39. San Diego St. (11-1),10.1,23.3 (95),15.2 (9),2.1 (11)
40. UCLA (8-4),9.6,38.0 (14),27.6 (75),-0.7 (86)
41. Oregon St. (7-5),9.3,37.8 (15),28.8 (85),0.3 (58)
42. UAB (8-4),9.3,31.1 (50),21.0 (24),-0.8 (90)
43. Marshall (7-5),9.2,33.0 (41),22.9 (39),-0.9 (93)
44. Boise St. (7-5),9.2,28.4 (70),21.1 (26),1.9 (12)
45. BYU (10-2),9,37.1 (16),27.2 (70),-0.9 (96)
46. N. Carolina (6-6),8.8,39.1 (9),30.3 (97),0.0 (64)
47. Louisville (6-6),8.7,34.5 (30),25.9 (60),0.1 (62)
48. Florida St. (5-7),8.3,30.2 (56),22.8 (38),0.9 (34)
49. SMU (8-4),8.1,36.6 (20),27.5 (72),-0.9 (98)
50. Virginia (6-6),8,39.7 (4),31.2 (101),-0.5 (73)
51. Toledo (7-5),8,29.6 (62),20.5 (21),-1.1 (109)
52. Purdue (7-4),7.6,30.0 (58),20.7 (22),-1.7 (121)
53. Texas Tech (6-6),7.5,33.6 (37),28.6 (82),2.5 (4)
54. Texas (5-7),7.4,34.1 (33),29.0 (88),2.2 (6)
55. UTSA (11-1),7.2,31.9 (48),25.9 (61),1.2 (24)
56. Air Force (9-3),7.1,29.1 (67),20.9 (23),-1.1 (103)
57. Louisiana (10-1),7,30.5 (55),22.9 (41),-0.5 (76)
58. Wash. St. (7-5),7,33.2 (40),26.6 (67),0.5 (49)
59. Army (8-3),6.5,30.9 (51),23.3 (44),-1.1 (108)
60. Liberty (7-5),6.3,30.7 (53),23.4 (46),-1.0 (99)
61. LSU (6-6),6,28.8 (68),24.3 (51),1.5 (20)
62. Nevada (8-4),5.8,31.1 (49),25.4 (58),0.1 (63)
63. Va. Tech (6-6),5.3,28.1 (73),23.5 (47),0.7 (39)
64. Tulsa (6-6),4.4,28.2 (72),24.8 (54),1.0 (29)
65. Maryland (6-6),4.3,34.1 (35),28.7 (84),-1.0 (101)
66. Illinois (5-7),3.9,23.2 (98),21.8 (30),2.5 (3)
67. UCF (8-4),3.6,29.3 (64),24.5 (52),-1.3 (112)
68. California (4-7),3.1,27.6 (78),25.6 (59),1.0 (28)
69. S. Carolina (6-6),2,24.2 (88),24.3 (50),2.1 (8)
70. Missouri (6-6),1.8,30.6 (54),31.0 (100),2.1 (10)
71. Boston Coll. (6-6),1.5,27.2 (83),26.3 (66),0.6 (45)
72. W. Virginia (6-6),1.5,28.2 (71),25.9 (62),-0.8 (89)
73. Syracuse (5-7),1.1,27.4 (79),24.9 (55),-1.4 (117)
74. USC (4-7),0.8,33.8 (36),33.7 (108),0.7 (42)
75. Miami-OH (6-6),0.4,29.7 (60),27.5 (73),-1.7 (120)
76. Memphis (6-6),0.3,29.5 (63),28.1 (80),-1.1 (107)
77. ECU (7-5),0.3,27.4 (80),28.5 (81),1.4 (21)
78. Washington (4-8),-0.4,23.0 (100),23.3 (45),0.0 (65)
79. Wyoming (6-6),-0.8,23.8 (90),22.7 (36),-1.9 (125)
80. Utah St. (9-3),-1.2,27.8 (76),29.9 (95),1.0 (31)
81. CMU (8-4),-1.2,29.6 (61),30.4 (98),-0.3 (70)
82. TCU (5-7),-1.2,32.8 (42),34.5 (111),0.5 (48)
83. WMU (7-5),-1.3,32.1 (47),29.9 (93),-3.5 (130)
84. Georgia St. (7-5),-1.6,26.3 (85),27.4 (71),-0.5 (77)
85. Rutgers (5-7),-2.1,21.2 (108),22.9 (40),-0.4 (71)
86. San Jose St. (5-7),-2.4,22.5 (103),25.3 (57),0.4 (51)
87. Hawaii (6-7),-2.5,27.1 (84),30.2 (96),0.7 (44)
88. Colorado St. (3-9),-2.7,23.2 (97),26.1 (65),0.2 (61)
89. Kent St. (7-5),-4,32.5 (44),35.4 (115),-1.1 (106)
90. Tulane (2-10),-4.1,27.9 (75),30.6 (99),-1.4 (116)
91. UTEP (7-5),-4.5,23.1 (99),28.0 (78),0.4 (52)
92. MTSU (6-6),-5.4,23.7 (91),27.9 (77),-1.2 (111)
93. Indiana (2-9),-5.6,21.0 (110),26.0 (63),-0.5 (74)
94. Ga. Tech (3-9),-5.8,27.4 (81),32.1 (103),-1.1 (104)
95. FAU (5-7),-5.9,22.9 (101),28.7 (83),-0.1 (69)
96. ODU (6-6),-6.2,21.6 (106),27.8 (76),-0.1 (66)
97. Troy (5-7),-6.6,20.1 (115),26.9 (68),0.3 (59)
98. N. Texas (6-6),-6.9,23.3 (96),28.9 (87),-1.3 (113)
99. EMU (7-5),-7,27.7 (77),36.5 (120),1.9 (13)
100. S. Alabama (5-7),-7.4,21.4 (107),28.0 (79),-0.9 (94)
101. NIU (8-4),-8.9,28.0 (74),36.2 (118),-0.6 (81)
102. Colorado (4-8),-9.7,19.1 (120),29.4 (91),0.7 (40)
103. Buffalo (4-8),-9.8,24.6 (87),33.2 (106),-1.2 (110)
104. Stanford (3-9),-9.9,22.5 (102),33.4 (107),1.0 (30)
105. Navy (3-8),-10,20.1 (114),29.2 (89),-0.9 (97)
106. Ball St. (6-6),-10.1,22.1 (104),32.7 (104),0.5 (46)
107. Northwestern (3-9),-10.3,19.5 (118),27.2 (69),-2.7 (128)
108. Ohio (3-9),-11.4,25.2 (86),35.2 (113),-1.4 (118)
109. La. Tech (3-9),-11.7,23.5 (93),34.6 (112),-0.6 (79)
110. USF (2-10),-12.2,23.4 (94),36.3 (119),0.7 (37)
111. Arizona (1-11),-12.2,19.5 (119),32.1 (102),0.4 (56)
112. BGSU (4-8),-12.4,17.0 (125),29.8 (92),0.4 (53)
113. Duke (3-9),-13.1,23.8 (89),36.1 (117),-0.8 (87)
114. UNLV (2-10),-13.8,19.9 (116),33.1 (105),-0.6 (80)
115. Charlotte (5-7),-14.8,27.4 (82),41.6 (127),-0.6 (78)
116. So. Miss (3-9),-14.8,14.8 (128),28.8 (86),-0.8 (91)
117. Ga. Southern (3-9),-15,18.5 (121),34.1 (109),0.7 (43)
118. Texas St. (4-8),-16.3,20.7 (111),36.9 (121),-0.1 (67)
119. Arkansas St. (2-10),-17.4,21.1 (109),40.2 (124),1.7 (17)
120. Temple (3-9),-19,17.4 (124),34.2 (110),-2.2 (126)
121. New Mexico (3-9),-19,11.5 (130),29.9 (94),-0.6 (82)
122. Vanderbilt (2-10),-19.2,17.5 (123),35.7 (116),-1.0 (100)
123. ULM (4-7),-20.2,15.9 (127),35.3 (114),-0.8 (88)
124. Kansas (2-10),-21,22.0 (105),41.1 (126),-1.9 (124)
125. FIU (1-11),-21.8,19.7 (117),40.4 (125),-1.1 (105)
126. Akron (2-10),-23,20.2 (113),41.8 (128),-1.3 (114)
127. Rice (4-8),-23.5,18.1 (122),38.5 (123),-3.1 (129)
128. NMSU (2-10),-24.6,20.5 (112),43.8 (129),-1.3 (115)
129. UConn (1-11),-25.2,12.6 (129),37.0 (122),-0.7 (84)
130. UMass (1-11),-29.3,16.2 (126),44.0 (130),-1.6 (119)
